,Local_Government_Area,Offence_Division,Incidents_Recorded
0,Alpine,A Crimes against the person,713
1,Alpine,B Property and deception offences,1580
2,Alpine,C Drug offences,240
3,Alpine,D Public order and security offences,482
4,Alpine,E Justice procedures offences,322
5,Alpine,F Other offences,66
6,Ararat,A Crimes against the person,1937
7,Ararat,B Property and deception offences,3988
8,Ararat,C Drug offences,520
9,Ararat,D Public order and security offences,1042
10,Ararat,E Justice procedures offences,1358
11,Ararat,F Other offences,108
12,Ballarat,A Crimes against the person,11950
13,Ballarat,B Property and deception offences,55768
14,Ballarat,C Drug offences,2048
15,Ballarat,D Public order and security offences,4524
16,Ballarat,E Justice procedures offences,8789
17,Ballarat,F Other offences,451
18,Banyule,A Crimes against the person,8876
19,Banyule,B Property and deception offences,41659
20,Banyule,C Drug offences,2235
21,Banyule,D Public order and security offences,2536
22,Banyule,E Justice procedures offences,11518
23,Banyule,F Other offences,535
24,Bass Coast,A Crimes against the person,4083
25,Bass Coast,B Property and deception offences,10160
26,Bass Coast,C Drug offences,901
27,Bass Coast,D Public order and security offences,1476
28,Bass Coast,E Justice procedures offences,2139
29,Bass Coast,F Other offences,141
30,Baw Baw,A Crimes against the person,5076
31,Baw Baw,B Property and deception offences,14723
32,Baw Baw,C Drug offences,1575
33,Baw Baw,D Public order and security offences,2006
34,Baw Baw,E Justice procedures offences,3166
35,Baw Baw,F Other offences,450
36,Bayside,A Crimes against the person,3990
37,Bayside,B Property and deception offences,27003
38,Bayside,C Drug offences,1201
39,Bayside,D Public order and security offences,1814
40,Bayside,E Justice procedures offences,2397
41,Bayside,F Other offences,355
42,Benalla,A Crimes against the person,2050
43,Benalla,B Property and deception offences,4451
44,Benalla,C Drug offences,426
45,Benalla,D Public order and security offences,601
46,Benalla,E Justice procedures offences,1199
47,Benalla,F Other offences,70
48,Boroondara,A Crimes against the person,5577
49,Boroondara,B Property and deception offences,46972
50,Boroondara,C Drug offences,1736
51,Boroondara,D Public order and security offences,2210
52,Boroondara,E Justice procedures offences,2676
53,Boroondara,F Other offences,394
54,Brimbank,A Crimes against the person,21119
55,Brimbank,B Property and deception offences,95618
56,Brimbank,C Drug offences,6208
57,Brimbank,D Public order and security offences,6238
58,Brimbank,E Justice procedures offences,16088
59,Brimbank,F Other offences,1796
60,Buloke,A Crimes against the person,399
61,Buloke,B Property and deception offences,1184
62,Buloke,C Drug offences,145
63,Buloke,D Public order and security offences,153
64,Buloke,E Justice procedures offences,112
65,Buloke,F Other offences,44
66,Campaspe,A Crimes against the person,3675
67,Campaspe,B Property and deception offences,14281
68,Campaspe,C Drug offences,820
69,Campaspe,D Public order and security offences,1878
70,Campaspe,E Justice procedures offences,3605
71,Campaspe,F Other offences,210
72,Cardinia,A Crimes against the person,7690
73,Cardinia,B Property and deception offences,27978
74,Cardinia,C Drug offences,1982
75,Cardinia,D Public order and security offences,2389
76,Cardinia,E Justice procedures offences,4510
77,Cardinia,F Other offences,906
78,Casey,A Crimes against the person,27141
79,Casey,B Property and deception offences,92429
80,Casey,C Drug offences,6296
81,Casey,D Public order and security offences,5590
82,Casey,E Justice procedures offences,12880
83,Casey,F Other offences,1650
84,Central Goldfields,A Crimes against the person,1912
85,Central Goldfields,B Property and deception offences,3987
86,Central Goldfields,C Drug offences,351
87,Central Goldfields,D Public order and security offences,720
88,Central Goldfields,E Justice procedures offences,1414
89,Central Goldfields,F Other offences,69
90,Colac-Otway,A Crimes against the person,2466
91,Colac-Otway,B Property and deception offences,6584
92,Colac-Otway,C Drug offences,552
93,Colac-Otway,D Public order and security offences,1199
94,Colac-Otway,E Justice procedures offences,1286
95,Colac-Otway,F Other offences,246
96,Corangamite,A Crimes against the person,1141
97,Corangamite,B Property and deception offences,3253
98,Corangamite,C Drug offences,244
99,Corangamite,D Public order and security offences,344
100,Corangamite,E Justice procedures offences,538
101,Corangamite,F Other offences,138
102,Darebin,A Crimes against the person,12662
103,Darebin,B Property and deception offences,82450
104,Darebin,C Drug offences,3464
105,Darebin,D Public order and security offences,4337
106,Darebin,E Justice procedures offences,7376
107,Darebin,F Other offences,1178
108,East Gippsland,A Crimes against the person,7023
109,East Gippsland,B Property and deception offences,15184
110,East Gippsland,C Drug offences,1375
111,East Gippsland,D Public order and security offences,2792
112,East Gippsland,E Justice procedures offences,4222
113,East Gippsland,F Other offences,280
114,Frankston,A Crimes against the person,15613
115,Frankston,B Property and deception offences,61271
116,Frankston,C Drug offences,4865
117,Frankston,D Public order and security offences,9448
118,Frankston,E Justice procedures offences,15752
119,Frankston,F Other offences,1515
120,Gannawarra,A Crimes against the person,954
121,Gannawarra,B Property and deception offences,2335
122,Gannawarra,C Drug offences,246
123,Gannawarra,D Public order and security offences,555
124,Gannawarra,E Justice procedures offences,749
125,Gannawarra,F Other offences,93
126,Glen Eira,A Crimes against the person,6027
127,Glen Eira,B Property and deception offences,37322
128,Glen Eira,C Drug offences,1740
129,Glen Eira,D Public order and security offences,2583
130,Glen Eira,E Justice procedures offences,2897
131,Glen Eira,F Other offences,633
132,Glenelg,A Crimes against the person,2052
133,Glenelg,B Property and deception offences,6589
134,Glenelg,C Drug offences,676
135,Glenelg,D Public order and security offences,969
136,Glenelg,E Justice procedures offences,1556
137,Glenelg,F Other offences,109
138,Golden Plains,A Crimes against the person,745
139,Golden Plains,B Property and deception offences,3278
140,Golden Plains,C Drug offences,120
141,Golden Plains,D Public order and security offences,159
142,Golden Plains,E Justice procedures offences,337
143,Golden Plains,F Other offences,32
144,Greater Bendigo,A Crimes against the person,11271
145,Greater Bendigo,B Property and deception offences,38829
146,Greater Bendigo,C Drug offences,2445
147,Greater Bendigo,D Public order and security offences,5501
148,Greater Bendigo,E Justice procedures offences,10236
149,Greater Bendigo,F Other offences,427
150,Greater Dandenong,A Crimes against the person,21545
151,Greater Dandenong,B Property and deception offences,76045
152,Greater Dandenong,C Drug offences,6788
153,Greater Dandenong,D Public order and security offences,10713
154,Greater Dandenong,E Justice procedures offences,16393
155,Greater Dandenong,F Other offences,2278
156,Greater Geelong,A Crimes against the person,21390
157,Greater Geelong,B Property and deception offences,104390
158,Greater Geelong,C Drug offences,4315
159,Greater Geelong,D Public order and security offences,9863
160,Greater Geelong,E Justice procedures offences,13877
161,Greater Geelong,F Other offences,1039
162,Greater Shepparton,A Crimes against the person,9270
163,Greater Shepparton,B Property and deception offences,32132
164,Greater Shepparton,C Drug offences,2655
165,Greater Shepparton,D Public order and security offences,4641
166,Greater Shepparton,E Justice procedures offences,7899
167,Greater Shepparton,F Other offences,322
168,Hepburn,A Crimes against the person,1008
169,Hepburn,B Property and deception offences,4072
170,Hepburn,C Drug offences,128
171,Hepburn,D Public order and security offences,198
172,Hepburn,E Justice procedures offences,464
173,Hepburn,F Other offences,68
174,Hindmarsh,A Crimes against the person,579
175,Hindmarsh,B Property and deception offences,1003
176,Hindmarsh,C Drug offences,191
177,Hindmarsh,D Public order and security offences,153
178,Hindmarsh,E Justice procedures offences,226
179,Hindmarsh,F Other offences,22
180,Hobsons Bay,A Crimes against the person,7277
181,Hobsons Bay,B Property and deception offences,35240
182,Hobsons Bay,C Drug offences,1741
183,Hobsons Bay,D Public order and security offences,2754
184,Hobsons Bay,E Justice procedures offences,3804
185,Hobsons Bay,F Other offences,695
186,Horsham,A Crimes against the person,3445
187,Horsham,B Property and deception offences,6958
188,Horsham,C Drug offences,916
189,Horsham,D Public order and security offences,1450
190,Horsham,E Justice procedures offences,2471
191,Horsham,F Other offences,138
192,Hume,A Crimes against the person,23172
193,Hume,B Property and deception offences,89859
194,Hume,C Drug offences,5687
195,Hume,D Public order and security offences,6118
196,Hume,E Justice procedures offences,16333
197,Hume,F Other offences,2316
198,Indigo,A Crimes against the person,712
199,Indigo,B Property and deception offences,2194
200,Indigo,C Drug offences,160
201,Indigo,D Public order and security offences,348
202,Indigo,E Justice procedures offences,265
203,Indigo,F Other offences,56
204,Kingston,A Crimes against the person,10171
205,Kingston,B Property and deception offences,52565
206,Kingston,C Drug offences,3060
207,Kingston,D Public order and security offences,4432
208,Kingston,E Justice procedures offences,8040
209,Kingston,F Other offences,933
210,Knox,A Crimes against the person,10702
211,Knox,B Property and deception offences,51934
212,Knox,C Drug offences,3998
213,Knox,D Public order and security offences,3867
214,Knox,E Justice procedures offences,6332
215,Knox,F Other offences,653
216,Latrobe,A Crimes against the person,18658
217,Latrobe,B Property and deception offences,45073
218,Latrobe,C Drug offences,3176
219,Latrobe,D Public order and security offences,6641
220,Latrobe,E Justice procedures offences,14056
221,Latrobe,F Other offences,479
222,Loddon,A Crimes against the person,670
223,Loddon,B Property and deception offences,1920
224,Loddon,C Drug offences,136
225,Loddon,D Public order and security offences,182
226,Loddon,E Justice procedures offences,354
227,Loddon,F Other offences,50
228,Macedon Ranges,A Crimes against the person,2545
229,Macedon Ranges,B Property and deception offences,9107
230,Macedon Ranges,C Drug offences,710
231,Macedon Ranges,D Public order and security offences,862
232,Macedon Ranges,E Justice procedures offences,1873
233,Macedon Ranges,F Other offences,339
234,Manningham,A Crimes against the person,4560
235,Manningham,B Property and deception offences,24685
236,Manningham,C Drug offences,1152
237,Manningham,D Public order and security offences,996
238,Manningham,E Justice procedures offences,1962
239,Manningham,F Other offences,239
240,Mansfield,A Crimes against the person,606
241,Mansfield,B Property and deception offences,1861
242,Mansfield,C Drug offences,149
243,Mansfield,D Public order and security offences,412
244,Mansfield,E Justice procedures offences,339
245,Mansfield,F Other offences,151
246,Maribyrnong,A Crimes against the person,7988
247,Maribyrnong,B Property and deception offences,49886
248,Maribyrnong,C Drug offences,2937
249,Maribyrnong,D Public order and security offences,4205
250,Maribyrnong,E Justice procedures offences,3963
251,Maribyrnong,F Other offences,763
252,Maroondah,A Crimes against the person,8099
253,Maroondah,B Property and deception offences,34590
254,Maroondah,C Drug offences,2089
255,Maroondah,D Public order and security offences,3694
256,Maroondah,E Justice procedures offences,9012
257,Maroondah,F Other offences,429
258,Melbourne,A Crimes against the person,32518
259,Melbourne,B Property and deception offences,142201
260,Melbourne,C Drug offences,12886
261,Melbourne,D Public order and security offences,38972
262,Melbourne,E Justice procedures offences,24789
263,Melbourne,F Other offences,5719
264,Melton,A Crimes against the person,13232
265,Melton,B Property and deception offences,53761
266,Melton,C Drug offences,2583
