Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_100,000_population"
2020,December,1 North West Metro, Banyule,"6,717","5,074.3"
2020,December,1 North West Metro, Brimbank,"15,399","7,325.9"
2020,December,1 North West Metro, Darebin,"12,046","7,265.3"
2020,December,1 North West Metro, Hobsons Bay,"4,497","4,561.1"
2020,December,1 North West Metro, Hume,"16,216","6,717.0"
2020,December,1 North West Metro, Maribyrnong,"7,342","7,676.2"
2020,December,1 North West Metro, Melbourne,"26,850","14,320.0"
2020,December,1 North West Metro, Melton,"10,113","5,880.0"
2020,December,1 North West Metro, Moonee Valley,"6,463","4,894.6"
2020,December,1 North West Metro, Moreland,"10,829","5,738.6"
2020,December,1 North West Metro, Nillumbik,"1,632","2,504.1"
2020,December,1 North West Metro, Whittlesea,"12,155","5,129.4"
2020,December,1 North West Metro, Wyndham,"13,246","4,672.8"
2020,December,1 North West Metro, Yarra,"11,403","11,055.2"
2020,December,1 North West Metro,Total,"154,908","6,697.2"
2020,December,2 Eastern, Alpine,413,"3,212.0"
2020,December,2 Eastern, Bass Coast,"2,053","5,538.3"
2020,December,2 Eastern, Baw Baw,"3,690","6,749.4"
2020,December,2 Eastern, Benalla,996,"7,077.6"
2020,December,2 Eastern, Boroondara,"6,252","3,390.1"
2020,December,2 Eastern, East Gippsland,"3,686","7,713.7"
2020,December,2 Eastern, Greater Shepparton,"6,036","9,026.3"
2020,December,2 Eastern, Indigo,446,"2,649.5"
2020,December,2 Eastern, Knox,"8,756","5,298.0"
2020,December,2 Eastern, Latrobe,"9,646","12,707.1"
2020,December,2 Eastern, Manningham,"3,439","2,672.7"
2020,December,2 Eastern, Mansfield,372,"4,002.8"
2020,December,2 Eastern, Maroondah,"5,777","4,826.4"
2020,December,2 Eastern, Mitchell,"3,227","6,733.2"
2020,December,2 Eastern, Moira,"1,604","5,345.0"
2020,December,2 Eastern, Monash,"9,916","4,871.8"
2020,December,2 Eastern, Murrindindi,657,"4,460.5"
2020,December,2 Eastern, South Gippsland,"1,260","4,183.2"
2020,December,2 Eastern, Strathbogie,483,"4,439.2"
2020,December,2 Eastern, Towong,158,"2,611.4"
2020,December,2 Eastern, Wangaratta,"1,652","5,626.9"
2020,December,2 Eastern, Wellington,"3,325","7,456.3"
2020,December,2 Eastern, Whitehorse,"7,223","4,015.8"
2020,December,2 Eastern, Wodonga,"2,588","6,026.0"
2020,December,2 Eastern, Yarra Ranges,"6,370","3,971.2"
2020,December,2 Eastern,Total,"90,025","5,192.2"
2020,December,3 Southern Metro, Bayside,"4,138","3,842.1"
2020,December,3 Southern Metro, Cardinia,"5,844","4,987.4"
2020,December,3 Southern Metro, Casey,"17,296","4,736.1"
2020,December,3 Southern Metro, Frankston,"10,822","7,528.2"
2020,December,3 Southern Metro, Glen Eira,"6,277","3,988.1"
2020,December,3 Southern Metro, Greater Dandenong,"15,005","8,827.4"
2020,December,3 Southern Metro, Kingston,"8,640","5,173.6"
2020,December,3 Southern Metro, Mornington Peninsula,"8,134","4,808.9"
2020,December,3 Southern Metro, Port Phillip,"10,319","8,765.6"
2020,December,3 Southern Metro, Stonnington,"9,077","7,633.5"
2020,December,3 Southern Metro,Total,"95,552","5,847.8"
2020,December,4 Western, Ararat,"1,104","9,307.2"
2020,December,4 Western, Ballarat,"7,383","6,623.1"
2020,December,4 Western, Buloke,284,"4,667.9"
2020,December,4 Western, Campaspe,"2,500","6,642.5"
2020,December,4 Western, Central Goldfields,809,"6,116.5"
2020,December,4 Western, Colac-Otway,"1,364","6,317.4"
2020,December,4 Western, Corangamite,651,"4,088.8"
2020,December,4 Western, Gannawarra,685,"6,553.6"
2020,December,4 Western, Glenelg,"1,084","5,521.6"
2020,December,4 Western, Golden Plains,448,"1,848.3"
2020,December,4 Western, Greater Bendigo,"8,121","6,768.1"
2020,December,4 Western, Greater Geelong,"16,605","6,271.6"
2020,December,4 Western, Hepburn,563,"3,504.3"
2020,December,4 Western, Hindmarsh,313,"5,658.9"
2020,December,4 Western, Horsham,"1,484","7,445.8"
2020,December,4 Western, Loddon,394,"5,260.0"
2020,December,4 Western, Macedon Ranges,"1,918","3,758.0"
2020,December,4 Western, Mildura,"4,667","8,332.8"
2020,December,4 Western, Moorabool,"2,050","5,698.2"
2020,December,4 Western, Mount Alexander,763,"3,830.9"
2020,December,4 Western, Moyne,535,"3,138.8"
2020,December,4 Western, Northern Grampians,836,"7,380.1"
2020,December,4 Western, Pyrenees,371,"4,960.4"
2020,December,4 Western, Queenscliffe,100,"3,386.1"
2020,December,4 Western, Southern Grampians,833,"5,180.1"
2020,December,4 Western, Surf Coast,"1,200","3,500.1"
2020,December,4 Western, Swan Hill,"1,819","8,836.4"
2020,December,4 Western, Warrnambool,"2,323","6,565.1"
2020,December,4 Western, West Wimmera,132,"3,473.3"
2020,December,4 Western, Yarriambiack,365,"5,539.7"
2020,December,4 Western,Total,"61,704","6,023.7"
2020,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,329",
2020,December,Justice Institutions and Immigration Facilities,Total,"1,329",
2020,December,Unincorporated Vic, Unincorporated Vic,37,
2020,December,Unincorporated Vic,Total,37,
2019,December,1 North West Metro, Banyule,"7,047","5,353.6"
2019,December,1 North West Metro, Brimbank,"15,153","7,232.1"
2019,December,1 North West Metro, Darebin,"11,420","6,955.6"
2019,December,1 North West Metro, Hobsons Bay,"4,999","5,114.0"
2019,December,1 North West Metro, Hume,"15,879","6,801.3"
2019,December,1 North West Metro, Maribyrnong,"6,909","7,393.4"
2019,December,1 North West Metro, Melbourne,"26,971","15,071.4"
2019,December,1 North West Metro, Melton,"9,080","5,506.5"
2019,December,1 North West Metro, Moonee Valley,"6,476","4,970.3"
2019,December,1 North West Metro, Moreland,"10,845","5,838.0"
2019,December,1 North West Metro, Nillumbik,"1,655","2,542.5"
2019,December,1 North West Metro, Whittlesea,"12,068","5,241.5"
2019,December,1 North West Metro, Wyndham,"13,220","4,887.5"
2019,December,1 North West Metro, Yarra,"11,074","10,910.9"
2019,December,1 North West Metro,Total,"152,796","6,769.2"
2019,December,2 Eastern, Alpine,426,"3,324.5"
2019,December,2 Eastern, Bass Coast,"1,836","5,055.1"
2019,December,2 Eastern, Baw Baw,"3,606","6,753.3"
2019,December,2 Eastern, Benalla,961,"6,846.2"
2019,December,2 Eastern, Boroondara,"6,177","3,371.7"
2019,December,2 Eastern, East Gippsland,"3,645","7,703.5"
2019,December,2 Eastern, Greater Shepparton,"6,349","9,547.7"
2019,December,2 Eastern, Indigo,434,"2,598.6"
2019,December,2 Eastern, Knox,"8,792","5,343.4"
2019,December,2 Eastern, Latrobe,"10,104","13,372.0"
2019,December,2 Eastern, Manningham,"3,824","2,997.5"
2019,December,2 Eastern, Mansfield,315,"3,432.9"
2019,December,2 Eastern, Maroondah,"5,996","5,057.4"
2019,December,2 Eastern, Mitchell,"3,141","6,816.1"
2019,December,2 Eastern, Moira,"1,939","6,479.5"
2019,December,2 Eastern, Monash,"9,072","4,472.3"
2019,December,2 Eastern, Murrindindi,604,"4,145.5"
2019,December,2 Eastern, South Gippsland,"1,314","4,392.6"
2019,December,2 Eastern, Strathbogie,447,"4,146.2"
2019,December,2 Eastern, Towong,149,"2,466.9"
2019,December,2 Eastern, Wangaratta,"1,764","6,043.8"
2019,December,2 Eastern, Wellington,"3,274","7,377.2"
2019,December,2 Eastern, Whitehorse,"7,272","4,068.5"
2019,December,2 Eastern, Wodonga,"2,793","6,636.9"
2019,December,2 Eastern, Yarra Ranges,"6,163","3,864.9"
2019,December,2 Eastern,Total,"90,397","5,256.6"
2019,December,3 Southern Metro, Bayside,"4,016","3,758.1"
2019,December,3 Southern Metro, Cardinia,"5,257","4,687.1"
2019,December,3 Southern Metro, Casey,"16,646","4,704.0"
2019,December,3 Southern Metro, Frankston,"11,037","7,737.5"
2019,December,3 Southern Metro, Glen Eira,"5,698","3,640.6"
2019,December,3 Southern Metro, Greater Dandenong,"14,695","8,736.6"
2019,December,3 Southern Metro, Kingston,"8,921","5,381.2"
2019,December,3 Southern Metro, Mornington Peninsula,"8,658","5,164.8"
2019,December,3 Southern Metro, Port Phillip,"9,806","8,482.6"
2019,December,3 Southern Metro, Stonnington,"9,054","7,688.0"
2019,December,3 Southern Metro,Total,"93,788","5,836.1"
2019,December,4 Western, Ararat,853,"7,201.4"
2019,December,4 Western, Ballarat,"8,931","8,155.8"
2019,December,4 Western, Buloke,242,"3,951.7"
2019,December,4 Western, Campaspe,"2,918","7,756.1"
2019,December,4 Western, Central Goldfields,892,"6,764.8"
2019,December,4 Western, Colac-Otway,"1,287","5,968.3"
2019,December,4 Western, Corangamite,524,"3,270.9"
2019,December,4 Western, Gannawarra,630,"6,016.0"
2019,December,4 Western, Glenelg,"1,081","5,494.6"
2019,December,4 Western, Golden Plains,485,"2,044.5"
2019,December,4 Western, Greater Bendigo,"8,439","7,146.1"
2019,December,4 Western, Greater Geelong,"16,494","6,370.0"
2019,December,4 Western, Hepburn,724,"4,532.1"
2019,December,4 Western, Hindmarsh,229,"4,098.1"
2019,December,4 Western, Horsham,"1,320","6,626.2"
2019,December,4 Western, Loddon,373,"4,970.7"
2019,December,4 Western, Macedon Ranges,"1,744","3,472.0"
2019,December,4 Western, Mildura,"5,553","9,955.7"
2019,December,4 Western, Moorabool,"1,597","4,556.5"
2019,December,4 Western, Mount Alexander,911,"4,611.7"
2019,December,4 Western, Moyne,506,"2,984.7"
2019,December,4 Western, Northern Grampians,764,"6,700.6"
2019,December,4 Western, Pyrenees,411,"5,500.5"
2019,December,4 Western, Queenscliffe,105,"3,571.4"
2019,December,4 Western, Southern Grampians,945,"5,869.6"
2019,December,4 Western, Surf Coast,"1,003","2,998.0"
2019,December,4 Western, Swan Hill,"1,872","9,065.8"
2019,December,4 Western, Warrnambool,"2,604","7,401.7"
2019,December,4 Western, West Wimmera,130,"3,384.5"
2019,December,4 Western, Yarriambiack,298,"4,488.6"
2019,December,4 Western,Total,"63,865","6,315.8"
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,357",
2019,December,Justice Institutions and Immigration Facilities,Total,"1,357",
2019,December,Unincorporated Vic, Unincorporated Vic,108,
2019,December,Unincorporated Vic,Total,108,
2018,December,1 North West Metro, Banyule,"7,167","5,502.5"
2018,December,1 North West Metro, Brimbank,"14,573","6,981.3"
2018,December,1 North West Metro, Darebin,"11,606","7,179.6"
2018,December,1 North West Metro, Hobsons Bay,"4,813","4,988.5"
2018,December,1 North West Metro, Hume,"15,544","6,926.2"
2018,December,1 North West Metro, Maribyrnong,"6,938","7,589.7"
2018,December,1 North West Metro, Melbourne,"26,893","15,790.0"
2018,December,1 North West Metro, Melton,"8,053","5,138.5"
2018,December,1 North West Metro, Moonee Valley,"6,684","5,225.7"
2018,December,1 North West Metro, Moreland,"11,611","6,387.4"
2018,December,1 North West Metro, Nillumbik,"1,645","2,533.1"
2018,December,1 North West Metro, Whittlesea,"11,777","5,273.0"
2018,December,1 North West Metro, Wyndham,"11,290","4,421.1"
2018,December,1 North West Metro, Yarra,"11,314","11,478.5"
2018,December,1 North West Metro,Total,"149,908","6,839.2"
2018,December,2 Eastern, Alpine,393,"3,087.2"
2018,December,2 Eastern, Bass Coast,"1,661","4,701.9"
2018,December,2 Eastern, Baw Baw,"3,165","6,085.1"
2018,December,2 Eastern, Benalla,874,"6,232.6"
2018,December,2 Eastern, Boroondara,"5,603","3,089.2"
2018,December,2 Eastern, East Gippsland,"3,171","6,773.3"
2018,December,2 Eastern, Greater Shepparton,"6,196","9,386.7"
2018,December,2 Eastern, Indigo,342,"2,074.1"
2018,December,2 Eastern, Knox,"8,075","4,947.6"
2018,December,2 Eastern, Latrobe,"9,908","13,174.0"
2018,December,2 Eastern, Manningham,"3,347","2,666.2"
2018,December,2 Eastern, Mansfield,333,"3,708.7"
2018,December,2 Eastern, Maroondah,"5,913","5,032.1"
2018,December,2 Eastern, Mitchell,"2,998","6,767.8"
2018,December,2 Eastern, Moira,"1,566","5,255.6"
2018,December,2 Eastern, Monash,"8,231","4,111.1"
2018,December,2 Eastern, Murrindindi,571,"3,943.9"
2018,December,2 Eastern, South Gippsland,"1,023","3,459.0"
2018,December,2 Eastern, Strathbogie,440,"4,133.8"
2018,December,2 Eastern, Towong,178,"2,940.2"
2018,December,2 Eastern, Wangaratta,"1,740","5,982.3"
2018,December,2 Eastern, Wellington,"2,824","6,415.7"
2018,December,2 Eastern, Whitehorse,"6,251","3,546.2"
2018,December,2 Eastern, Wodonga,"2,385","5,756.8"
2018,December,2 Eastern, Yarra Ranges,"5,541","3,503.2"
2018,December,2 Eastern,Total,"82,729","4,868.5"
2018,December,3 Southern Metro, Bayside,"3,697","3,496.1"
2018,December,3 Southern Metro, Cardinia,"4,571","4,267.3"
2018,December,3 Southern Metro, Casey,"15,895","4,668.9"
2018,December,3 Southern Metro, Frankston,"11,298","7,964.9"
2018,December,3 Southern Metro, Glen Eira,"4,975","3,232.2"
2018,December,3 Southern Metro, Greater Dandenong,"14,078","8,473.6"
2018,December,3 Southern Metro, Kingston,"8,532","5,219.9"
2018,December,3 Southern Metro, Mornington Peninsula,"8,136","4,906.4"
2018,December,3 Southern Metro, Port Phillip,"9,958","8,791.8"
2018,December,3 Southern Metro, Stonnington,"8,338","7,170.6"
2018,December,3 Southern Metro,Total,"89,478","5,684.6"
2018,December,4 Western, Ararat,900,"7,630.4"
2018,December,4 Western, Ballarat,"8,054","7,504.4"
2018,December,4 Western, Buloke,182,"2,943.6"
2018,December,4 Western, Campaspe,"2,841","7,557.9"
2018,December,4 Western, Central Goldfields,970,"7,344.0"
2018,December,4 Western, Colac-Otway,"1,269","5,901.8"
2018,December,4 Western, Corangamite,539,"3,339.7"
2018,December,4 Western, Gannawarra,519,"4,921.3"
2018,December,4 Western, Glenelg,"1,030","5,238.0"
2018,December,4 Western, Golden Plains,509,"2,201.7"
2018,December,4 Western, Greater Bendigo,"7,734","6,664.9"
2018,December,4 Western, Greater Geelong,"16,013","6,348.6"
2018,December,4 Western, Hepburn,602,"3,807.2"
2018,December,4 Western, Hindmarsh,255,"4,518.1"
2018,December,4 Western, Horsham,"1,575","7,924.9"
2018,December,4 Western, Loddon,390,"5,191.0"
2018,December,4 Western, Macedon Ranges,"1,660","3,361.2"
2018,December,4 Western, Mildura,"5,547","9,991.7"
2018,December,4 Western, Moorabool,"1,764","5,164.5"
2018,December,4 Western, Mount Alexander,691,"3,541.0"
2018,December,4 Western, Moyne,428,"2,534.5"
2018,December,4 Western, Northern Grampians,764,"6,684.2"
2018,December,4 Western, Pyrenees,340,"4,624.0"
2018,December,4 Western, Queenscliffe,101,"3,387.0"
2018,December,4 Western, Southern Grampians,"1,111","6,886.1"
2018,December,4 Western, Surf Coast,878,"2,722.3"
2018,December,4 Western, Swan Hill,"1,781","8,579.0"
2018,December,4 Western, Warrnambool,"2,907","8,338.4"
2018,December,4 Western, West Wimmera,128,"3,314.3"
2018,December,4 Western, Yarriambiack,335,"5,031.5"
2018,December,4 Western,Total,"61,817","6,206.9"
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,497",
2018,December,Justice Institutions and Immigration Facilities,Total,"1,497",
2018,December,Unincorporated Vic, Unincorporated Vic,95,
2018,December,Unincorporated Vic,Total,95,
2017,December,1 North West Metro, Banyule,"7,434","5,757.7"
2017,December,1 North West Metro, Brimbank,"13,247","6,399.6"
2017,December,1 North West Metro, Darebin,"11,445","7,209.4"
2017,December,1 North West Metro, Hobsons Bay,"4,908","5,162.5"
2017,December,1 North West Metro, Hume,"15,048","6,991.3"
2017,December,1 North West Metro, Maribyrnong,"6,466","7,235.7"
2017,December,1 North West Metro, Melbourne,"26,518","16,663.2"
2017,December,1 North West Metro, Melton,"8,049","5,415.9"
2017,December,1 North West Metro, Moonee Valley,"6,668","5,316.9"
2017,December,1 North West Metro, Moreland,"10,525","5,947.2"
2017,December,1 North West Metro, Nillumbik,"1,845","2,855.2"
2017,December,1 North West Metro, Whittlesea,"11,342","5,258.6"
2017,December,1 North West Metro, Wyndham,"10,855","4,502.8"
2017,December,1 North West Metro, Yarra,"10,562","11,002.8"
2017,December,1 North West Metro,Total,"144,912","6,828.9"
2017,December,2 Eastern, Alpine,310,"2,452.9"
2017,December,2 Eastern, Bass Coast,"1,936","5,630.2"
2017,December,2 Eastern, Baw Baw,"2,766","5,458.2"
2017,December,2 Eastern, Benalla,976,"6,984.4"
2017,December,2 Eastern, Boroondara,"5,741","3,195.2"
2017,December,2 Eastern, East Gippsland,"2,973","6,444.0"
2017,December,2 Eastern, Greater Shepparton,"5,940","9,061.2"
2017,December,2 Eastern, Indigo,377,"2,308.2"
2017,December,2 Eastern, Knox,"8,432","5,210.5"
2017,December,2 Eastern, Latrobe,"9,282","12,391.2"
2017,December,2 Eastern, Manningham,"3,699","2,976.6"
2017,December,2 Eastern, Mansfield,494,"5,616.2"
2017,December,2 Eastern, Maroondah,"6,300","5,416.0"
2017,December,2 Eastern, Mitchell,"3,059","7,130.0"
2017,December,2 Eastern, Moira,"1,450","4,890.1"
2017,December,2 Eastern, Monash,"8,175","4,151.4"
2017,December,2 Eastern, Murrindindi,546,"3,835.9"
2017,December,2 Eastern, South Gippsland,"1,004","3,424.2"
2017,December,2 Eastern, Strathbogie,438,"4,177.8"
2017,December,2 Eastern, Towong,174,"2,881.3"
2017,December,2 Eastern, Wangaratta,"1,780","6,169.2"
2017,December,2 Eastern, Wellington,"2,722","6,214.5"
2017,December,2 Eastern, Whitehorse,"6,513","3,759.0"
2017,December,2 Eastern, Wodonga,"2,423","5,937.0"
2017,December,2 Eastern, Yarra Ranges,"5,720","3,646.4"
2017,December,2 Eastern,Total,"83,230","4,958.2"
2017,December,3 Southern Metro, Bayside,"3,831","3,673.7"
2017,December,3 Southern Metro, Cardinia,"4,350","4,247.9"
2017,December,3 Southern Metro, Casey,"15,066","4,610.6"
2017,December,3 Southern Metro, Frankston,"10,703","7,606.0"
2017,December,3 Southern Metro, Glen Eira,"5,349","3,531.7"
2017,December,3 Southern Metro, Greater Dandenong,"13,669","8,359.3"
2017,December,3 Southern Metro, Kingston,"7,696","4,778.6"
2017,December,3 Southern Metro, Mornington Peninsula,"8,463","5,165.6"
2017,December,3 Southern Metro, Port Phillip,"9,689","8,756.0"
2017,December,3 Southern Metro, Stonnington,"7,895","6,939.3"
2017,December,3 Southern Metro,Total,"86,711","5,636.2"
2017,December,4 Western, Ararat,912,"7,757.7"
2017,December,4 Western, Ballarat,"8,958","8,497.3"
2017,December,4 Western, Buloke,158,"2,546.3"
2017,December,4 Western, Campaspe,"2,505","6,662.8"
2017,December,4 Western, Central Goldfields,859,"6,533.3"
2017,December,4 Western, Colac-Otway,"1,381","6,444.2"
2017,December,4 Western, Corangamite,709,"4,373.8"
2017,December,4 Western, Gannawarra,444,"4,201.0"
2017,December,4 Western, Glenelg,"1,243","6,312.2"
2017,December,4 Western, Golden Plains,499,"2,211.1"
2017,December,4 Western, Greater Bendigo,"7,200","6,310.8"
2017,December,4 Western, Greater Geelong,"17,116","6,965.4"
2017,December,4 Western, Hepburn,660,"4,222.9"
2017,December,4 Western, Hindmarsh,278,"4,861.8"
2017,December,4 Western, Horsham,"1,575","7,920.5"
2017,December,4 Western, Loddon,295,"3,929.7"
2017,December,4 Western, Macedon Ranges,"1,600","3,304.3"
2017,December,4 Western, Mildura,"4,804","8,712.1"
2017,December,4 Western, Moorabool,"1,737","5,194.1"
2017,December,4 Western, Mount Alexander,767,"3,974.7"
2017,December,4 Western, Moyne,465,"2,769.0"
2017,December,4 Western, Northern Grampians,842,"7,310.9"
2017,December,4 Western, Pyrenees,357,"4,851.9"
2017,December,4 Western, Queenscliffe,126,"4,258.2"
2017,December,4 Western, Southern Grampians,984,"6,103.1"
2017,December,4 Western, Surf Coast,996,"3,177.3"
