Year,Year_ending,Local_Government_Area,Location_Division,Location_Subdivision,Location_Group,Incidents_Recorded
2020,December,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,6
2020,December,Alpine,1 Residential,11 Dwelling - private,112 House,119
2020,December,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,7
2020,December,Alpine,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2020,December,Alpine,1 Residential,11 Dwelling - private,117 Farm House,3
2020,December,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2020,December,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2020,December,Alpine,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2020,December,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,6
2020,December,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,7
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,7
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,2
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,6
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2020,December,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,8
2020,December,Alpine,2 Community,21 Education,211 School,5
2020,December,Alpine,2 Community,22 Health,222 Medical Centre,1
2020,December,Alpine,2 Community,24 Public Transport,242 Train Station,1
2020,December,Alpine,2 Community,24 Public Transport,246 Depot/Terminal,1
2020,December,Alpine,2 Community,25 Other Transport,251 Private Car,1
2020,December,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),2
2020,December,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2020,December,Alpine,2 Community,26 Justice,261 Police Station,3
2020,December,Alpine,2 Community,26 Justice,262 Court,8
2020,December,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,7
2020,December,Alpine,2 Community,27 Open Space,272 Rural,11
2020,December,Alpine,2 Community,27 Open Space,273 Vacant Block,1
2020,December,Alpine,2 Community,27 Open Space,275 Other Open Space,6
2020,December,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,87
