Year,Year_ending,Local_Government_Area,Charge_Status,Incidents_Recorded
2020,December,Alpine,Charges laid,159
2020,December,Alpine,No charges laid,128
2020,December,Alpine,Unsolved,126
2020,December,Ararat,Charges laid,539
2020,December,Ararat,No charges laid,261
2020,December,Ararat,Unsolved,304
2020,December,Ballarat,Charges laid,"2,704"
2020,December,Ballarat,No charges laid,"1,258"
2020,December,Ballarat,Unsolved,"3,421"
2020,December,Banyule,Charges laid,"2,714"
2020,December,Banyule,No charges laid,"1,302"
2020,December,Banyule,Unsolved,"2,701"
2020,December,Bass Coast,Charges laid,817
2020,December,Bass Coast,No charges laid,548
2020,December,Bass Coast,Unsolved,688
2020,December,Baw Baw,Charges laid,"1,451"
2020,December,Baw Baw,No charges laid,"1,007"
2020,December,Baw Baw,Unsolved,"1,232"
2020,December,Bayside,Charges laid,991
2020,December,Bayside,No charges laid,819
2020,December,Bayside,Unsolved,"2,328"
2020,December,Benalla,Charges laid,406
2020,December,Benalla,No charges laid,235
2020,December,Benalla,Unsolved,355
2020,December,Boroondara,Charges laid,"1,481"
2020,December,Boroondara,No charges laid,957
2020,December,Boroondara,Unsolved,"3,814"
2020,December,Brimbank,Charges laid,"5,392"
2020,December,Brimbank,No charges laid,"3,160"
2020,December,Brimbank,Unsolved,"6,847"
2020,December,Buloke,Charges laid,91
2020,December,Buloke,No charges laid,98
2020,December,Buloke,Unsolved,95
2020,December,Campaspe,Charges laid,"1,024"
2020,December,Campaspe,No charges laid,526
2020,December,Campaspe,Unsolved,950
2020,December,Cardinia,Charges laid,"1,865"
2020,December,Cardinia,No charges laid,"1,650"
2020,December,Cardinia,Unsolved,"2,329"
2020,December,Casey,Charges laid,"5,284"
2020,December,Casey,No charges laid,"4,618"
2020,December,Casey,Unsolved,"7,394"
2020,December,Central Goldfields,Charges laid,357
2020,December,Central Goldfields,No charges laid,213
2020,December,Central Goldfields,Unsolved,239
2020,December,Colac-Otway,Charges laid,505
2020,December,Colac-Otway,No charges laid,442
